邸,1
邷,1
邵,1
邱,7
邪,205
邦,47
那,7516
邓,26
邑,1
邅,6
邃,1
邂,1
邀,33
避,71
遽,2
遵,58
遮,106
遭,142
遨,2
遥,89
遣,43
遗,22
道,11078
遐,3
遏,2
遍,179
遇,227
遂,267
遁,19
逾,1
逼,30
逻,8
逸,8
逶,2
逭,1
逢,121
造,180
速,27
逞,35
逝,1
通,438
逗,1
途,68
递,153
逐,47
透,63
逍,30
逊,8
选,64
逆,16
逅,1
逃,101
适,75
送,480
退,173
追,56
迹,60
迸,50
迷,64
迳,1
述,1
迭,62
迫,2
迩,2
迦,25
迥,6
迤,2
迢,10
迟,117
连,321
违,31
远,351
进,792
这,3807
还,1215
返,60
迓,11
近,398
运,67
迎,365
迍,10
迈,6
过,908
迅,13
迁,10
辿,1
达,31
边,743
辱,14
辰,105
辩,4
辨,75
辣,14
辟,70
辞,118
辜,2
辛,57
辘,23
辖,15
辕,7
辔,23
输,45
辐,1
辏,1
辍,2
辋,1
辉,57
辈,64
辇,28
辆,8
辅,13
辄,9
较,47
辂,1
轿,58
载,48
轻,245
轸,3
轴,4
轳,5
轰,17
软,98
轮,214
转,476
轩,22
轧,2
车,76
軃,6
躲,116
躯,31
躬,93
身,1637
躧,30
躘,8
躇,5
躁,11
蹼,3
蹻,1
蹶,1
蹴,1
蹲,30
蹱,1
蹭,9
蹬,25
蹡,11
蹙,4
蹑,1
蹍,1
蹋,1
蹊,11
蹉,4
蹈,11
蹅,2
蹄,40
踵,13
踪,67
踢,31
踡,1
踞,3
踘,1
踏,115
踌,5
踊,9
踉,9
跼,1
跷,15
践,6
跳,383
路,1063
跬,2
跪,171
跨,27
跤,4
跣,1
跟,184
距,1
跘,1
跑,181
跎,1
跌,162
跋,5
跄,9
跃,26
趾,1
趷,1
足,161
趱,14
趫,1
趣,18
趟,1
趋,11
越,65
超,49
趄,2
趁,105
起,1077
赶,379
赵,13
赴,103
走,1291
赭,10
赫,2
赦,30
赥,2
赤,95
赣,1
赢,50
赡,31
赠,6
赞,36
赜,1
赛,95
赚,19
赘,8
赖,32
赔,3
赓,2
赑,1
赐,107
赏,60
赎,2
赍,7
赌,105
赋,4
赊,3
赈,1
赆,1
资,16
赃,15
赁,6
贿,1
贾,6
贽,2
贼,225
贻,5
贺,55
费,58
贵,66
贴,55
贱,26
贰,2
贯,35
贮,3
贬,36
贫,195
贪,52
贩,15
质,7
货,61
败,171
贤,188
责,11
财,75
贡,14
负,80
贞,22
贝,289
貔,2
貌,122
貉,2
貅,1
貂,5
豺,3
豹,60
豸,5
豪,33
象,324
豝,3
豚,1
豕,7
豇,1
豆,26
豁,1
谷,43
谶,2
谵,1
谴,2
谲,1
谱,2
谯,3
谬,13
谪,2
谩,1
谨,71
谦,17
谤,6
谣,6
谢,463
谜,4
谛,90
谙,4
谗,3
谕,6
谓,49
谒,13
谐,18
谏,2
谎,31
谋,38
谊,1
谈,79
谆,2
谅,8
谄,2
调,98
谁,171
课,10
诽,1
读,22
诺,19
诸,168
请,869
诵,48
说,2327
诳,36
诲,15
诱,13
诰,1
误,78
语,344
诬,5
诨,1
详,16
该,177
诣,5
询,13
诡,2
诞,4
话,513
诛,21
诚,139
诘,3
诗,191
试,63
诓,2
译,1
诏,18
词,37
诊,11
诉,34
诈,22
识,188
评,2
诃,7
诂,1
证,104
诀,94
访,72
设,140
讽,5
讼,1
论,116
讹,5
许,234
讶,10
讵,1
讴,2
讳,8
讲,197
记,101
讯,42
议,37
训,9
讫,33
讪,1
让,168
讨,81
认,391
订,2
计,221
譬,2
警,1
誓,22
誊,3
誉,6
詈,2
言,1323
触,15
觥,7
解,492
觞,5
觜,2
觔,6
角,138
觑,10
觌,13
觉,217
览,7
视,40
觅,25
规,18
观,553
见,3429
覆,7
要,1387
西,903
襟,11
襕,22
褶,2
褴,2
褭,1
褪,12
褥,1
褡,1
褛,1
褒,3
褐,1
褊,16
裾,1
裹,35
裸,2
裳,20
裰,45
裩,2
裤,6
裟,156
裙,56
裘,6
裔,3
裆,8
装,150
裂,21
裁,17
裀,2
袱,63
袭,13
被,629
袢,1
袜,7
袛,1
袖,98
袒,1
袍,62
袋,36
袈,155
袅,8
袄,15
袂,2
袁,8
衾,5
衽,1
衷,2
衲,13
衰,21
衬,32
衫,28
表,107
补,26
衣,482
衢,8
衡,6
衠,3
衙,41
街,100
衕,4
衔,34
衍,1
行,5629
